Funnel,Distinct ID,Time to First Copy
Time to First Copy,08D6C957-6F3D-47BD-A66D-6E4122C05EF9,0
Time to First Copy,4717f4c0-2c58-4814-bd1e-3c601764599b,0
Time to First Copy,6A892C17-1840-4CFC-9142-BF5B5018C4F8,0
Time to First Copy,EC1C0878-B7F1-43B1-8C7F-FC950F3E0A16,0
Time to First Copy,CF69C1BB-0940-48C2-BF97-FC75DB6FC3D2,0
Time to First Copy,E3B89F18-0D2B-4964-8959-489FD9320FFF,0
Time to First Copy,B29F61FA-9BED-428F-9780-316CA40B6457,0
Time to First Copy,A6FABD93-0A1E-4C51-B826-DD3D87EA9837,0
Time to First Copy,092237DA-7D05-4203-83E0-5C24A6177726,0
Time to First Copy,ACF01B08-B320-47A7-BEEB-9721ED3DAA9F,0
Time to First Copy,6B99CFC2-25A7-48D9-938D-DBF7E8B2EBB7,0
Time to First Copy,8032d409-5a82-466f-9cf8-3829d3884c12,0
Time to First Copy,F1084CEE-9258-4D0F-AF35-84B69E796B1B,0
Time to First Copy,D18CE004-035D-4E23-AB4D-608A12A51F3C,0
Time to First Copy,448152602740842496,0
Time to First Copy,540613890694635520,0
Time to First Copy,D790FEE4-0AD3-4F01-9910-7F42162AF401,0
Time to First Copy,EFBF0DD9-64C3-41D8-BCC3-8AFE72976580,0
Time to First Copy,77CAFA28-9295-49DE-9B28-7803017CD367,0
Time to First Copy,E8F0C5D1-25CD-42F3-B751-2BAB818D54A5,0
Time to First Copy,540701602734551040,0
Time to First Copy,776a6646-ba37-4eca-862e-e261640a6f83,0
Time to First Copy,540543996103942144,0
Time to First Copy,D638E6DD-F4AC-40A4-BF67-859A5D435F75,0
Time to First Copy,5320C609-A375-43BC-956D-EA391EA8B414,0
Time to First Copy,EA46F59E-0FC2-4CCF-A0C8-062D898B41C3,0
Time to First Copy,A9A7B871-2D1A-4E43-B0E4-C065BA2AE855,0
Time to First Copy,d5d3482c-b311-4c0e-bf4c-fe4840d8634e,0
Time to First Copy,3ce98870-b44a-45ed-8400-fc75f50466ff,0
Time to First Copy,430A3015-C2EB-4DE5-808E-4950A6713453,0
Time to First Copy,f338d219-97aa-46ae-8364-dab0a89584ab,0
Time to First Copy,9B75E7E8-D931-4010-BA7C-8A42DDBAD55E,0
Time to First Copy,1FABBF0B-7D53-4347-AAF0-4D9C65C19EDD,0
Time to First Copy,0F6F15D9-3912-4E46-804F-DE03465CE778,0
Time to First Copy,41A27C2C-97A4-4654-9DAD-F2FF11AB7570,0
Time to First Copy,b0b0860b-a14d-411c-a773-bb5e3ed996d3,0
Time to First Copy,B18607CC-B4E9-434E-B4B1-528FEC7A1EDB,0
Time to First Copy,540668416407252992,0
Time to First Copy,996FA2CA-CF72-4C2D-B914-AA2DFA285738,0
Time to First Copy,3adc4d71-8911-4627-b97b-c67727fb61c5,0
Time to First Copy,bd60ec0a-acd6-41a7-b0f8-92c5c3414f9e,0
Time to First Copy,105C0969-D936-411A-8D2B-BF5A02825988,0
Time to First Copy,5EA6C3FA-49F1-4D27-BD13-092146B63993,0
Time to First Copy,1C99606A-2B0A-454B-A8B3-0CABEC0BD23D,0
Time to First Copy,4725eb68-fb55-480b-84a2-3fe93eaac6aa,0
Time to First Copy,F6019EA1-D574-4019-873E-8383A1FB5CC2,0
Time to First Copy,54104CCA-E895-48E2-9E2D-021F6DF0C8F6,0
Time to First Copy,acd637d0-db33-4622-baed-c04a7f2ac9b7,0
Time to First Copy,540725110563069952,0
Time to First Copy,B6495936-092B-4072-9943-38B58F23D986,0
Time to First Copy,74D7814F-3F1F-4C42-B270-F6E66BFFDA9F,0
Time to First Copy,AE8E7642-52D5-46A4-8D0B-61FA0C7E375A,0
Time to First Copy,B74E7955-E85E-4851-866D-BD10229CFA74,0
Time to First Copy,9A397125-37E3-47CE-B3AA-B1C73DB3AF7A,0
Time to First Copy,43C45DF6-99C2-424D-895D-7206B30FAC65,0
Time to First Copy,575DE3B8-E971-486B-BA18-AEB0FC55E371,0
Time to First Copy,C59B9620-AD85-4654-8DB5-2E1D27C489AC,0
Time to First Copy,1E0E5368-5BE2-4E35-B268-532CA3F1F59A,0
Time to First Copy,b50bf1e9-1604-4404-a6a8-691053ffbbf7,0
Time to First Copy,84FD1299-343D-4A12-8089-0B433169494B,0
Time to First Copy,B72135C9-72EE-43FE-95C5-C63E24A3BD50,0
Time to First Copy,d7e09057-cd46-4ade-9858-c6ee47a1c9ed,0
Time to First Copy,C65652C3-F6D4-4A42-86B1-B97A5C360640,0
Time to First Copy,874d9085-a498-43a1-9b7f-84c5729e2550,0
Time to First Copy,B013BBC6-B7EE-47F1-9D2C-BF4C49499828,0
Time to First Copy,47498BB4-394A-4F47-B884-DE7677F043F1,0
Time to First Copy,7E7FB38F-5F93-4C5D-808C-B3BA65928A6A,0
Time to First Copy,2375B7D3-000E-43F4-AA09-468001018D02,0
Time to First Copy,B0FE2DF2-24EE-457C-9387-521574FE0C8C,0
Time to First Copy,540706360379715584,0
