Funnel,$distinct_id,Time to Linked Bank
Time to Linked Bank,$device:F1EBA742-520C-4702-82B1-9B8742A6EF21,
Time to Linked Bank,$device:D3550969-6664-4D5B-B4CA-DB21EBECC9D7,
Time to Linked Bank,540917188437618688,0.008263888888888888
Time to Linked Bank,$device:1A3A239D-0039-4328-955D-BA13E750E8E5,
Time to Linked Bank,$device:9C6D16F8-A0B5-4FD5-9EBF-D16E085316BA,
Time to Linked Bank,540885377405825024,
Time to Linked Bank,$device:31D37A87-84E3-4A9B-A427-5E5473B48196,
Time to Linked Bank,540885528812118016,0.018912037037037036
Time to Linked Bank,$device:510682FE-6A2F-4FB2-9389-22B3F7647769,
Time to Linked Bank,$device:F364947D-3CF1-40CD-9C27-E2CB1E9E3324,
Time to Linked Bank,$device:EE943989-94FF-4634-8D00-70D14DDFA1A5,
Time to Linked Bank,$device:DF4F103A-B050-4189-AACE-4C36A7AE0427,
Time to Linked Bank,$device:7b06301a-b0a4-49c4-a657-60961ff24699,
Time to Linked Bank,$device:048348AF-4297-48A7-84B7-157EFC0DF477,
Time to Linked Bank,$device:FEB33AF6-361A-405C-8886-07E44D264E56,
Time to Linked Bank,$device:282535E3-8834-46A1-8C61-9452EBADB1BA,
Time to Linked Bank,$device:BEA98132-F501-46AA-8B5A-F45920DC8575,
Time to Linked Bank,$device:AA62AABC-110C-47F6-B780-4E8E42125233,
Time to Linked Bank,$device:FA3304CA-FCDD-440A-BE1C-31B0CB434127,7.934583333333333
Time to Linked Bank,540883092575805440,
Time to Linked Bank,$device:e04ecfcd-b29d-49bb-abd9-709a90a8acf0,
Time to Linked Bank,539107890661306368,
Time to Linked Bank,$device:e0c617c6-ceed-44e1-8527-b79fd8e23f13,
Time to Linked Bank,$device:2126c373-1266-42e9-81a8-471290b8d938,
Time to Linked Bank,$device:854333AA-44C6-4C93-806C-4A0DEE602F11,
Time to Linked Bank,$device:DBAB86BC-F7B7-4667-ADF1-780C517B6199,
Time to Linked Bank,$device:2361D4B8-D8AC-441F-9893-6D34820C4B94,
Time to Linked Bank,$device:D12BD729-EB5D-45D0-B8CF-BA26CC9149EC,
Time to Linked Bank,$device:941D005B-8143-46E8-AA9F-3669B653BE8B,
Time to Linked Bank,$device:E5520C62-4497-440F-B0E6-43930804F66F,
Time to Linked Bank,$device:634a3fcc-08b6-43aa-b478-46ea9c99ec20,
Time to Linked Bank,$device:4BD21E90-6E5E-44BB-9BA6-8AEB3D4450EE,
Time to Linked Bank,E4FBD255-585E-4273-834E-B2D4377333AA,
Time to Linked Bank,$device:89aceb4a-bc5c-4343-b3eb-3422797ea187,
Time to Linked Bank,$device:e6ba60b9-57fe-43e7-a9e4-86f7ae19cc6b,
Time to Linked Bank,$device:861280A8-7801-4011-BEF0-6E26D1CCD3E4,
Time to Linked Bank,$device:5C851014-CA58-4C90-9492-1DE66E7B3307,
Time to Linked Bank,98CC2EDF-39AD-4998-8DE1-A9CE0C12FFB1,
Time to Linked Bank,$device:D521F2F3-B1F6-4E83-A12B-A4D52DF9BC15,4.743715277777778
Time to Linked Bank,540910917265580032,
Time to Linked Bank,$device:F67CC6A8-EC35-4531-829D-36E3707FBA1B,
Time to Linked Bank,539526958560501760,
Time to Linked Bank,$device:C2EAECAF-F871-4DB6-954D-4FD38A21896C,
Time to Linked Bank,$device:905561F7-9665-4BCB-A79B-13720ABF3D73,
Time to Linked Bank,540971270955524096,
Time to Linked Bank,$device:d4f7ab56-755f-4d7e-8b37-25e7590c6cfd,
Time to Linked Bank,540950286282186752,
Time to Linked Bank,$device:0a18d66a-dbe5-4425-b0c3-49844b5c3e01,
Time to Linked Bank,540987939056398336,
Time to Linked Bank,$device:953D116E-82E9-4A71-AD4D-547BAD76562C,
Time to Linked Bank,$device:AFE02D0E-4DFA-4BDC-9390-3DDA7784D788,
Time to Linked Bank,540882631093313536,
Time to Linked Bank,$device:8FFF8AAD-E41A-41DB-814B-CA02D3342D77,0.011770833333333333
Time to Linked Bank,$device:bc66b1a5-a7d5-4223-817d-2648a1c374fb,
Time to Linked Bank,$device:3C4D490C-4A3E-4385-A431-1E7A1594DCCE,
Time to Linked Bank,$device:B79AE155-2EC4-41B3-A583-A139B91F3C39,
Time to Linked Bank,$device:1864FA4A-5229-4790-9CCC-192B0320F261,
Time to Linked Bank,$device:D874F9D5-F3B0-44F2-B11E-2C3EBC319CF0,
Time to Linked Bank,540983146015809536,
Time to Linked Bank,$device:88C899C3-D57E-4D6F-96F3-C59D5903BCC0,
Time to Linked Bank,$device:E70CD986-D3FC-488E-A39D-21F628BBE4AF,
Time to Linked Bank,540949629580009472,
Time to Linked Bank,540890845641584640,
Time to Linked Bank,$device:cb9dc12f-6e5f-4e47-b8c3-58c17abebb5e,
Time to Linked Bank,$device:97192c06-a443-4343-a68d-edd1fa65edb6,
Time to Linked Bank,$device:4EF714C5-64E5-4905-AC96-055E37F9AA02,0.0077546296296296295
Time to Linked Bank,$device:2775B12E-1BB6-494C-AEB2-B7053929AA76,
Time to Linked Bank,$device:8248db67-918f-417f-afcf-13eb0c3bffe2,0.03613425925925926
Time to Linked Bank,$device:41E3A8B8-83D9-4083-9589-19AFB832CD67,
Time to Linked Bank,$device:9e4c1901-4c96-4336-bb63-5450ce8b8b9f,0.01204861111111111
Time to Linked Bank,540930818906710016,
Time to Linked Bank,$device:39976A0D-60B4-46E6-B899-135CB359C723,
Time to Linked Bank,$device:13A25DD0-6BC8-405C-B326-17E4D6B6313D,
Time to Linked Bank,$device:F81D2F39-AB13-4758-A467-E700A858C755,
Time to Linked Bank,$device:D9019D82-5CAF-45AE-A9B9-0CD171782C36,
Time to Linked Bank,$device:E40CCB25-77D6-4303-B38C-22C948A8D90D,
Time to Linked Bank,540960586947551232,0.004641203703703704
